id,FHa,e_FHa,FHalim,FNII,e_FNII,FNIIlim,FHb,e_FHb,FHblim,FOIII,e_FOIII,FOIIIlim,FOII,e_FOII,FOIIlim,CCat,ZFOURGE
7586,2.147,0.116,0.238,0.732,0.142,0.691,0.264,0.168,0.202,0.883,0.059,0.087,,,,3,1
7595,0.756,0.061,0.098,0.445,0.061,0.142,0,0.114,0.795,1.162,0.117,0.18,,,,3,1
7651,1.749,0.109,0.322,0.201,0.063,0.155,,,,,,,,,,3,1
7670,0.839,0.075,0.231,0,0.02,0.231,0.426,0.028,0.161,2.166,0.073,0.689,,,,3,1
7696,,,,,,,0,0.098,0.807,1.069,0.118,0.178,,,,3,1
7734,0,0.039,0.143,0.172,0.077,0.377,,,,,,,,,,3,1
7747,0.618,0.113,0.171,0.212,0.098,0.197,,,,,,,,,,3,1
7789,0.753,0.084,0.131,0.256,0.048,0.194,,,,,,,,,,3,1
7793,2.086,0.061,0.05,0.035,0.054,0.083,,,,,,,,,,3,1
7868,1.165,0.048,0.127,,,,0.383,0.127,0.189,1.43,0.216,0.474,,,,3,1
7943,1.399,0.104,0.423,0.325,0.107,0.412,,,,,,,,,,3,1
7963,0.592,0.063,0.077,0,0.107,0.273,,,,,,,,,,3,1
8017,4.309,0.25,0.458,0.339,0.121,0.33,,,,,,,,,,3,1
8019,2.386,0.127,0.289,0.406,0.061,0.187,0.805,0.125,0.431,1.315,0.122,0.602,,,,3,1
8020,3.693,0.148,0.257,0.467,0.078,0.143,0.714,0.207,0.366,2.074,0.104,0.279,,,,3,1
8026,0.233,0.102,0.116,0,0.079,0.167,,,,,,,,,,3,1
8109,3.271,0.165,0.292,0.515,0.107,0.386,,,,,,,,,,3,1
8239,2.686,0.101,0.115,0.399,0.065,0.111,,,,,,,,,,0,1
8307,8.961,0.248,0.828,0.971,0.143,0.373,2.079,0.1,0.214,8.281,0.09,0.193,,,,3,1
8407,4.022,0.1,0.152,0.588,0.081,0.216,,,,,,,,,,3,1
8445,0.588,0.075,0.155,0.046,0.05,0.189,,,,,,,,,,3,1
8452,3.107,0.14,0.179,0.448,0.078,0.133,0.612,0.056,0.214,2.223,0.072,0.424,,,,3,1
8486,4.96,0.155,0.222,0.263,0.078,0.146,,,,,,,,,,3,1
8497,0.313,0.042,0.136,0.054,0.033,0.163,,,,,,,,,,3,1
8557,0.994,0.109,0.127,0.102,0.053,0.071,,,,,,,,,,3,1
8586,0.374,0.147,0.28,0,0.098,0.252,,,,,,,,,,3,1
8616,1.86,0.124,0.145,0.256,0.094,0.13,,,,,,,,,,0,1
8618,8.756,0.138,0.216,0.514,0.063,0.114,1.732,0.053,0.068,7.29,0.064,0.067,,,,3,1
8641,,,,,,,0.377,0.077,0.234,0.565,0.082,0.133,,,,3,1
8678,0.271,0.118,0.449,0.153,0.113,0.66,,,,,,,,,,3,1
8715,2.59,0.253,0.439,0.398,0.214,0.508,,,,,,,,,,3,1
8730,4.541,0.078,0.144,0.818,0.081,0.21,1.087,0.076,0.073,2.327,0.113,0.183,,,,3,1
8732,2.027,0.095,0.134,0.128,0.09,0.161,,,,,,,,,,3,1
8764,3.409,0.079,0.122,0.174,0.048,0.06,1.684,0.195,1.662,4.267,0.105,0.733,,,,3,1
8810,1.178,0.624,6.788,1.97,0.346,1.877,,,,,,,,,,3,1
8824,1.779,0.156,0.234,0.319,0.128,0.257,,,,,,,,,,3,1
8883,1.084,0.283,0.994,0,0.109,1.812,0,0.09,0.729,0.029,0.11,0.156,,,,3,1
8915,,,,0.182,0.107,0.402,,,,,,,,,,0,1
9054,2.484,0.217,1.917,1.61,0.167,0.682,,,,,,,,,,0,1
9135,1.053,0.14,1.996,0.044,0.128,0.431,,,,,,,,,,3,1
9323,0.108,0.08,0.156,0.101,0.087,0.417,,,,,,,,,,3,1
9345,,,,,,,0.372,0.091,0.249,1.617,0.165,0.522,,,,3,1
9502,2.799,0.085,0.175,0.267,0.085,0.274,0.131,0.145,0.152,0.737,0.112,0.117,,,,3,1
9538,2.453,0.14,0.143,0.228,0.061,0.11,0.599,0.054,0.077,2.179,0.065,0.131,,,,3,1
9557,0.837,0.453,0.957,0,0.122,0.632,,,,,,,,,,3,1
9585,0,0.25,1.378,,,,,,,,,,,,,3,1
9671,6.256,0.209,0.548,3.03,0.178,0.821,0.974,0.087,0.222,1.672,0.091,0.233,,,,3,1
9710,,,,0.207,0.097,0.326,,,,,,,,,,3,1
9992,0.463,0.103,0.296,0.175,0.089,0.451,,,,,,,,,,3,1
9993,4.037,0.073,0.123,0,0.041,0.104,0.237,0.085,0.116,0.935,0.18,0.696,,,,3,1
10056,2.958,0.502,1.257,0,0.099,0.331,,,,,,,,,,3,1
10088,,,,,,,,,,,,,,,,3,1
10125,3.25,0.053,0.117,0.085,0.027,0.114,,,,,,,,,,3,1
10239,5.714,0.048,0.106,,,,,,,,,,,,,3,1
10418,2.257,0.071,0.124,0.312,0.066,0.149,0.191,0.087,0.199,0.487,0.074,0.184,,,,3,1
10727,0.1,0.053,0.18,0.1,0.027,0.108,,,,,,,,,,3,1
10775,0.81,0.149,0.165,0.201,0.13,0.181,,,,,,,,,,3,1
11212,1.827,0.093,0.087,0.124,0.06,0.101,,,,,,,,,,3,1
11244,0.929,0.14,0.238,0,0.122,0.247,,,,,,,,,,3,1
11356,2.222,0.149,0.226,0.037,0.197,0.709,0.762,0.092,0.246,1.34,0.122,0.191,,,,3,1
11446,1,0.061,1.886,1,0.027,1.934,,,,,,,,,,3,1
11488,,,,,,,1.113,0.067,0.472,5.544,0.109,0.268,,,,3,1
11650,5.277,0.129,0.452,5.791,0.095,0.358,,,,,,,,,,3,1
11658,3.149,0.066,0.08,0.337,0.056,0.094,1.199,0.176,0.21,3.429,0.181,0.084,,,,0,1
11800,2.489,0.07,0.141,0.387,0.072,0.13,,,,,,,,,,3,1
11833,3.823,0.181,0.325,0.743,0.122,0.25,,,,,,,,,,0,1
11897,0.63,0.067,0.073,0.169,0.045,0.055,,,,,,,,,,3,1
11953,1.148,0.102,0.111,0.03,0.054,0.1,,,,,,,,,,3,1
12067,,,,0.181,0.095,0.35,,,,,,,,,,3,1
12655,2.657,0.146,0.199,1.59,0.102,0.199,,,,,,,,,,3,1
12780,3.137,0.28,0.847,1.613,0.153,0.401,,,,,,,,,,3,1
13434,4.566,0.233,0.41,1.598,0.209,0.465,,,,,,,,,,3,1
13450,2.431,0.239,0.408,0.837,0.232,0.892,,,,,,,,,,3,1
13635,0.179,0.106,0.521,0.239,0.07,1.019,,,,,,,,,,3,1
13799,0.724,0.366,1.708,0.225,0.135,0.373,,,,,,,,,,3,1
13919,2.346,0.139,0.63,0.171,0.076,0.1,,,,,,,,,,3,1
14346,6.693,0.061,0.358,0.647,0.138,0.322,,,,,,,,,,3,1
